Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Verticiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395523,241384,607365,0,117517,0,0,17432,122872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudochrobactrum,0,0,0,254,0,388,0,784,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,32494,0,0,0,0,24615,0,0,0,0,0,21423,1375045,0
Advenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491146,18340,0,10796,0,30864,0,8824,24107,33094,0,0,0,0,65538,0,0,0,0,106315,20586,480811,0
Staphylococcus,0,0,0,1371,530,0,3886,1079,2975,3036,0,465,16840,0,60611,2268,0,0,0,379109,0,0,63552,69870,8668,37744,0,0,0,0,0,317544,0,0,5821,173577,0,0,126666,0,0,0
Brucella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563122,48540,0,0,0,5284,0,0,197368,0,0,0,0,0,0,0,0,0,26954,127035,0,235406,0
Paenibacillus,0,0,0,200,307,208,0,175,236,0,0,158,771,0,177,206,0,160,13249,478540,433363,327,30056,1571,0,88279,12544,40449,0,6816,0,20630,0,9978,1590,43971,0,0,0,0,979,0
Litchfieldia,0,175,0,511,431,327,0,14844,370,0,0,237,0,0,0,928,0,0,0,0,0,0,0,0,0,201768,12954,0,5923,166739,22681,8122,0,3672,3402,0,24508,261004,18550,59182,39564,213197
Ensifer,0,0,0,0,0,0,0,0,0,447,0,0,0,0,993,407,0,0,0,21510,405705,0,20419,0,0,144974,14704,56670,0,67143,0,25155,0,84692,5881,0,8826,40080,0,7540,14450,102879
Pseudaminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,3574,0,0,112597,11882,0,0,8104,4741,0,0,96978,8998,0,0,169893,293161,0,57191,107358
Prevotellaceae_NK3B31_group,0,0,0,0,0,0,0,0,0,0,122,151,0,0,0,132,0,0,0,0,0,0,0,0,0,799960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solibacillus,0,0,0,0,0,0,0,522,1816,1550,0,589,1916,0,714,385,0,0,1783,483136,111154,998,17064,13839,0,37807,0,0,64958,22874,0,0,0,0,1680,31266,0,0,0,0,0,0
Oscillospiraceae_genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,619634,0,0,7794,18362,0,0,0,0,0,0,0,0,108246,0,0,0
Acinetobacter,0,221,0,125,749,76,0,600,0,111,329,39,0,0,114,4858,467,0,494,535419,4000,482,3426,0,0,0,0,0,0,0,0,0,0,28091,0,0,0,0,5142,0,0,0
Vicinamibacteraceae_genus,2050,11966,7590,6736,1326,5958,1783,2351,20798,10367,3367,11494,21735,0,3934,924,0,0,8691,158459,15680,0,15907,8336,0,0,0,19737,0,0,0,0,27192,83105,2337,55194,0,52241,0,17792,0,0
[Eubacterium]_siraeum_group,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,558225,2893,0,0,0,2816,0,0,0,1850,0,0,0,0,0,0,0
Mucispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,524021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82058,0,0,0,17258,0,0,28450,184020,0,0,0,158469
Peribacillus,0,437,0,0,0,0,0,4235,8359,6405,1814,9869,12715,1762,4112,320,0,1171,3295,278252,15088,3330,58216,4296,0,13085,18273,0,0,0,0,19237,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus,0,338,0,409,755,700,0,3724,431,1019,287,95,0,0,0,0,0,872,0,0,0,0,0,0,0,71912,13884,7757,0,99427,40080,0,0,0,6746,13760,0,16237,20562,11947,90199,62595
Pyrinomonadaceae_genus,1015,10462,0,4941,1043,1129,0,2283,8641,4597,554,10750,11164,5690,0,0,0,0,0,0,47835,0,6124,8093,13758,0,0,0,0,13978,0,52362,36516,21808,13046,49372,38669,65374,0,0,19417,0
Acutalibacter,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,308,0,0,0,0,0,1141,4125,0,2962,156552,0,0,106115,8555,0,53933,36341,18872,0,16951,0,0,10438,0,0,0
Clostridioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19872,0,0,5528,0,0,0,2989,0,12770,0,0,6506,66462,0,80868,0,0,86117,108854,12541,0
Alistipes,338,0,0,0,380,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,391645,0,0,0,0,0,0,0,0,0,9068,0,0,0,0,0,0
Vicinamibacterales_genus,697,7071,10537,9414,3190,5581,0,6008,6445,5750,1427,8482,12629,6927,1157,1214,0,3008,8691,16157,15680,3423,10675,0,5130,15352,0,0,0,36933,12792,0,11182,39692,17819,0,0,53808,0,0,0,55611
Atopostipes,0,0,0,0,0,0,0,0,341,125,0,0,280,0,0,0,0,248,0,9027,710,0,0,22141,0,0,0,0,0,0,0,0,0,5242,9737,15504,0,72979,108618,11901,17718,102984
Lachnospiraceae_NK4A136_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361399,0,0,0,0,0,0,0,0,0,0,0,0,0,4406,0,0
Streptomyces,0,83,0,82,434,407,0,0,744,0,0,2125,2124,732,689,0,0,314,0,87280,26900,2883,18813,2445,0,40848,20891,0,0,11727,0,115576,0,5305,0,0,7124,0,8347,0,0,0
WD2101_soil_group_genus,1393,0,0,4071,4832,3256,0,6530,9203,2706,571,3062,7564,2398,1620,0,0,1337,0,130899,36405,978,4367,0,0,0,0,0,23381,0,8688,40449,21855,0,0,8281,0,0,0,0,0,0
Anaerostipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306947,8486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter,235,0,0,172,967,262,0,0,277,1600,0,0,477,0,677,0,0,0,4441,55571,222924,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635,0
Facklamia,0,0,0,0,0,0,446,0,460,0,0,0,0,0,0,0,0,0,0,82496,22719,0,2851,112103,0,0,4990,0,0,0,0,0,0,5616,15847,0,0,0,40632,0,7365,0
Pir4_lineage,0,1517,0,4355,1935,2305,1835,1412,3042,0,0,1910,11448,0,1459,555,2095,1505,4818,73520,29345,0,7213,0,0,19194,0,0,0,0,0,0,0,25503,4211,0,0,72849,0,0,0,0
Chryseobacterium,0,0,0,0,575,0,0,153,837,0,0,2201,883,467,0,0,0,325,5333,79917,149055,666,1369,1067,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,14013,2686,0,0
Devosia,0,0,0,381,537,0,0,1698,0,1014,0,0,0,0,810,0,0,0,0,106252,122627,0,0,0,0,0,0,0,0,0,0,0,0,16923,0,4961,0,0,0,0,0,0
Nocardioides,279,631,0,1157,1708,697,0,87,5105,380,179,1411,2721,0,1733,693,0,1753,6885,73846,29115,2015,19386,0,0,46586,14085,8983,1804,0,0,0,0,0,2516,0,0,17214,0,5745,7491,0
Nitrospira,0,4377,0,2036,3759,2325,0,477,3376,5411,0,4240,4236,4529,2314,0,0,1337,0,98037,45164,0,0,0,0,5326,0,0,0,0,0,0,0,22461,0,0,0,0,0,0,29459,0
Siminovitchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37104,0,0,0,25182,0,0,0,54506,0,17876,33863,64214
Prevotellaceae_UCG-001,0,0,0,0,0,0,0,1284,66,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,200776,0,0,0,0,1805,0,0,0,999,5035,0,5717,0,0,3234,8928
Subgroup_10,0,981,0,741,0,0,742,0,0,2955,0,2287,2644,0,1573,0,0,0,0,0,31624,0,0,0,0,0,0,0,0,0,0,117814,0,0,0,0,12982,0,0,0,9709,40567
Chelativorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia,428,0,417,209,1282,349,0,499,963,1195,350,1029,10278,545,631,84,0,821,13544,49539,130886,267,2604,0,0,0,2408,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0
Domibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66562,15088,0,0,0,0,8656,25252,28708,0,0,0,0,0,0,48458,0,0,0,0,12504,9956,0
Phyllobacterium,0,0,0,0,0,0,0,0,0,0,0,314,0,0,540,0,0,0,0,16248,23358,0,59118,0,0,97546,0,8177,0,0,0,0,0,0,4869,0,0,0,0,0,0,0
Intestinimonas,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202,0,196523,3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycoavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82291,103277,976,0,2079,0,0,5483,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas,181,351,0,132,2517,484,0,272,0,1409,446,614,0,0,0,0,0,0,4004,0,20957,1528,0,0,0,0,0,0,0,0,0,0,0,29487,5933,0,0,0,63772,0,64330,0
Pseudoclavibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTCFX1,0,0,0,3224,1253,620,0,2438,4092,6539,1332,1099,4438,1599,1234,0,0,1783,3120,0,66241,0,18115,0,0,0,0,0,0,0,0,44944,18128,0,3116,9716,0,0,0,0,0,0
UCG-005,465,0,0,170,0,388,0,1131,1637,1128,476,393,0,0,617,0,0,2006,0,0,0,0,0,0,0,23290,0,0,0,0,8608,0,0,0,1558,0,0,0,0,18326,121892,0
KD4-96_genus,795,1635,0,3471,521,678,0,1193,6958,463,1109,3861,4007,5690,0,598,0,0,0,47325,0,0,12014,0,8628,9125,14886,28469,0,0,0,0,16037,0,2534,10761,0,0,0,0,0,0
bacteriap25_genus,318,3690,931,3020,490,1699,2093,716,7568,1081,521,3981,4836,1704,4543,141,0,763,1679,44766,5500,1340,0,1903,0,10301,7001,0,0,0,0,26029,7542,0,4668,0,0,0,0,0,9132,0
Latilactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151693,0,0,0,5396,0,0,0,0,0,0,0
Rubrobacter,0,2020,0,1527,0,1628,0,0,3239,0,0,3769,3328,0,1620,616,0,0,0,48745,28194,0,15043,2852,0,3446,0,10150,0,0,0,0,0,0,0,0,0,0,0,0,0,27655
Kaistia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108220,0,0,0
[Eubacterium]_xylanophilum_group,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastocatellaceae_genus,0,981,0,0,0,0,0,2283,3278,1970,0,2745,0,0,0,0,0,0,0,79230,0,0,3533,0,0,0,0,0,0,0,0,52362,0,0,0,0,0,0,0,0,0,0
Turicibacter,0,0,0,0,246,0,0,9077,128,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,1741,32872,1832,7096,0,1200,3962,0,0,0,462,0,19844,26027,7698,1527,11824,16458
Paracoccus,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41176,16060,0,0,0,0,5522,2203,0,0,9232,0,24250,0,0,0,3569,0,19425,0,0,19541,0
Microvirga,0,385,0,726,0,863,0,1120,3114,97,0,2020,1729,496,794,1056,0,1910,0,0,17518,1746,3535,3134,0,6087,0,0,0,0,0,0,0,24264,1586,9391,8860,30833,0,0,0,19925
Lederbergia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,0,10296,0,32335,0,42264,0,10713,40312,0
Solirubrobacter,0,0,0,7125,0,465,0,0,3683,0,285,2827,0,6394,3008,0,0,0,0,32314,53376,3423,0,0,0,0,0,0,23381,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134376,0,0
Akkermansia,0,0,0,0,0,0,0,697,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126162,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia_UCG-014_genus,258,0,0,0,99,0,0,1645,0,0,0,87,0,0,0,222,0,0,0,0,0,0,0,0,0,108267,2464,0,0,0,1608,0,0,0,0,0,0,7459,0,8508,0,0
Clostridia_vadinBB60_group_genus,0,0,0,0,0,129,0,0,205,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86277,0,0,3903,0,0,0,0,0,577,8492,2476,0,19149,0,4918,0
Microlunatus,1045,0,0,763,0,0,764,784,2455,338,0,471,2723,0,0,0,0,0,0,0,36679,0,10675,0,0,0,0,0,0,0,0,67416,0,0,2337,0,0,0,0,0,0,0
Gemmatimonadaceae_genus,0,605,3695,1372,965,1533,349,938,5435,2633,0,2263,7791,3829,3741,368,0,0,0,29761,0,0,8886,0,0,3434,2598,0,0,0,0,34617,0,10257,0,0,0,0,0,0,0,0
Listeria,0,0,0,134,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124467,0,0,0,0,0,0
Neorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69708,0,6632,0,0,40104,0,0,0,7303,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19727,0,0,12926,7737,21097,16108,0,0,0,0,44747
Colidextribacter,0,0,0,85,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,2103,0,0,119373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enteractinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34616,0,0,0,0,48242,0,36979,0
Agromyces,0,0,0,0,0,0,849,980,1151,282,0,491,0,0,0,0,0,0,0,0,10150,1833,8088,0,0,29635,24952,0,0,12259,0,0,0,23590,4747,0,0,0,0,0,0,0
Pirellula,314,4968,0,4379,0,2420,918,5263,6037,1940,0,1582,2232,3932,948,0,0,0,0,0,7151,802,13921,0,0,6164,0,0,0,0,0,0,9166,0,4549,0,0,0,0,12440,28134,0
JG30-KF-CM45_genus,0,1963,0,1366,536,814,0,1192,2003,0,0,0,3184,1095,3290,0,904,502,2572,32588,17146,0,6514,0,0,1723,3038,0,0,0,4224,0,0,16923,11030,0,0,0,0,0,0,0
Oscillibacter,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,103,0,0,0,0,0,0,0,0,1761,35507,0,0,0,0,0,44944,0,0,0,0,0,0,24321,0,0,0
RF39_genus,159,0,0,0,368,0,0,1074,421,0,261,215,0,0,0,1369,0,0,0,0,0,0,0,0,0,68672,0,0,0,0,0,0,0,0,2134,4531,8184,0,0,12238,2527,0
Herminiimonas,2090,11953,0,4453,5772,9186,2420,7967,2148,6088,999,1767,3177,7060,3355,2620,0,5516,1838,0,0,4278,5702,0,6245,0,0,0,0,0,5310,0,0,0,0,0,0,0,0,0,0,0
Xanthobacteraceae_genus,0,3389,0,1118,250,216,0,0,1998,0,0,0,0,4968,0,287,0,0,0,0,13240,0,0,0,0,0,0,0,0,0,0,0,0,0,3125,0,0,0,0,0,0,65433
Limosilactobacillus,0,0,0,0,54,140,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,3040,0,0,0,0,0,0,0,0,0,0,0,90408,0,0,0,0,0,0
Gaiellales_genus,1225,0,0,3562,1050,2326,1783,1045,614,676,0,3769,3933,7460,0,1233,0,2674,0,0,48722,0,4367,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134,2710,6218,2289,0,35831,0,0,0,0,13289,0,24613,0,0,0,0,0,0
Microscillaceae_genus,348,2694,0,1399,537,0,0,0,614,0,0,1767,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8259,0,0,20930,0,0,36012,0,12298,0
Leucobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16286,0,0,0,0,0,0,0,0,0,0,0,0,56923,3360,0,0,0,0,0,7568,0
Blastococcus,0,2581,1586,1442,89,1395,424,1306,2864,0,0,471,908,0,0,308,0,0,1560,0,24726,163,5257,951,0,627,0,0,0,6051,0,26966,0,0,0,0,0,0,0,0,0,0
Gemmataceae_genus,413,2820,0,1921,930,1390,0,826,1557,992,381,1402,3838,994,642,0,0,0,0,21616,3212,387,518,0,0,0,0,0,0,0,0,10786,0,0,924,0,2428,21268,0,0,0,0
Gaiella,0,4041,0,6361,805,2093,1019,3396,5524,0,0,1885,5144,4529,0,0,1033,0,0,0,0,0,8006,0,0,12846,0,0,0,0,0,0,21855,0,0,0,0,0,0,0,0,0
Agrobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73333,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudorhodoferax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8982,0,35193,0,19888,0,0,0,0,9974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseiflexaceae_genus,0,769,0,581,2329,0,0,1551,4485,0,261,1184,0,0,740,704,0,1526,1679,0,16499,447,0,0,0,1574,0,4635,0,0,0,0,0,15455,0,0,0,12216,0,0,6911,0
Steroidobacter,0,0,4759,5089,0,0,0,0,2762,1353,0,2356,0,0,0,0,1808,0,0,0,45164,0,0,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,55765,0,0,0,0,2368,0,0,0,2775,0,3410,0,0,5211,0,0
Sanguibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36832,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28106
