"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Solibacillus",0,0,0,0,0,0,0,522,1816,1550,0,589,1916,0,714,385,0,0,1783,483136,111154,998,17064,13839,0,37807,0,0,64958,22874,0,0,0,0,1680,31266,0,0,0,0,0,0
"Sphingomonas",345,610,0,1151,364,859,1498,591,1807,1377,645,1278,685,0,0,418,0,0,0,0,0,0,0,0,2391,0,0,0,0,0,0,0,19433,0,0,0,0,0,0,0,0,0
"Delftia",139,606,816,0,268,233,0,1933,430,0,514,236,0,0,0,986,465,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium",772,0,0,0,333,289,361,278,218,0,152,125,0,0,287,710,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusarium",435,0,87,0,134,116,0,131,1381,423,4210,1531,294554,67,8099,462,30673,4512,552702,4733455,3733029,121272,8927818,663289,11950,316919,606075,380075,953059,127385,10680,11666425,4257,215847,68940,39844,1138,2031011,105847,299122,73109,2114428
"Mortierella",261,0,173,6553,0,174,64,261,1304,6004,2640,13604,74734,134,3413,77,5295,8607,912701,5920584,1436360,144009,417308,191299,2341,60783,464177,83319,189389,11111,2293,36269,1145,33539,20448,56124,2986,1608366,495565,15692,94865,1647595
"Actinomucor",0,84,0,0,0,0,0,65,383,0,0,0,0,133,0,0,8136,0,0,0,6967063,367,970,6691,180,3907363,17213,1692,6655,2660,604,13753,0,72769,0,2170,0,3607,65918,0,1892,3607
"Mucor",0,0,0,0,134,0,0,522,0,0,2854,59,8623,0,23197,0,0,8273,4012,940119,64051,1100,8456287,6033,360,157,9257,141,1079,313,60,86561,128,12923,438,620,71,9469,31784,45690,11622,10521
"Pseudogymnoascus",174,0,0,318,0,58,64,0,153,338,856,59,4085,400,347,0,65,1087,9192,394477,36953,37042,1522927,42121,1801,134883,203520,14803,105396,24726,3680,665528,1461,82462,12122,32093,3770,180511,30532,75941,36351,197194
"Linnemannia",174,505,0,0,0,0,64,457,0,592,428,177,52344,0,5091,77,387,0,280613,1779325,723722,189854,0,77441,0,0,114417,29182,3058,1878,423,1618,318,4154,2191,4031,71,38026,783,3891,1351,42685
"Neocosmospora",174,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,323,84,41615,135691,65693,5746,17469,3401,2042,260209,142478,76551,327338,25195,483,1221304,826,53846,2775,3411,853,75150,59186,189037,19729,83266
"Botryotrichum",0,0,0,0,0,0,0,65,0,338,285,0,1210,0,116,0,323,251,75710,57644,24635,5501,9341,3400,1141,34308,53375,7754,66008,31299,2172,2831,64,33384,24099,72248,1422,882265,313,14435,45811,888577
"Cheilymenia",0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,154,129,84,50306,99407,42701,2322,34937,33236,3303,1097,56557,480310,68166,66354,181,0,127,61385,17819,21395,0,95591,32255,60126,26486,100400
"Penicillium",0,0,0,127,0,0,0,0,0,0,143,0,0,134,0,308,0,0,501,9037,0,122,9583,768,180,5953,145,141,899,469,60,1017437,127,26461,292,155,0,5260,62787,0,675,7064
"Dactylonectria",0,0,0,0,0,116,0,0,0,85,71,0,908,0,0,0,0,0,24735,52853,127829,7579,163162,2413,60,28042,30521,21006,6115,3286,60,1888,0,5385,292,775,0,3156,0,3138,7027,5862
"Trichocladium",0,0,0,0,0,0,0,0,0,169,0,0,1059,0,58,0,65,167,79889,12871,9033,9535,4974,658,240,2037,44407,25094,80396,6260,60,0,0,6923,1753,2171,853,45090,0,43808,8784,49599
"Nectria",0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,1337,56413,14370,6724,27052,878,120,17076,2604,282,4496,1565,483,7955,0,2769,0,1240,71,752,0,7280,0,601
"Plectosphaerella",0,168,0,0,0,0,0,0,153,0,0,236,908,0,174,0,0,167,1337,5751,65967,2934,970,1426,0,4386,7811,141,1079,313,0,2157,64,462,438,775,0,6764,0,2008,270,4960
"Samsoniella",0,0,0,191,0,0,0,0,307,0,0,0,0,0,289,0,0,84,1170,11775,1642,367,41488,1316,0,2977,0,141,1619,0,0,15506,0,770,146,0,71,0,0,0,270,301
"Sarocladium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,836,4793,411,0,2911,0,0,2507,434,0,5396,0,0,0,0,308,0,310,0,17736,0,252,676,19689
"Solicoccozyma",0,1094,0,828,0,0,573,327,4910,0,0,648,3026,200,694,0,194,0,2340,8079,2600,489,0,987,120,1567,579,0,1439,469,121,10786,0,2461,3943,465,142,2856,626,126,270,2405
"Inocybe",0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,84,0,1506,137,0,970,0,60,314,0,0,0,0,0,0,0,0,0,0,0,7214,0,1255,0,10521
"Cephaliophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,10817,0,0,3761,0,0,0,145,0,719,0,0,0,0,0,0,1085,0,752,0,126,405,0
"Gibellulopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,418,0,958,0,0,1334,0,60,784,145,0,540,0,0,0,0,308,0,0,0,0,0,0,0,451
