Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
KD4-96_genus,2939278,3911057,4817438,4185086,2698047,3953706,2459324,3344066,3530333,2289826,2871122,2485969,3247306,4516611,2186028,2435620,4575703,3601769,2996352,0,3377708,4276531,1323405,1272453,1694516,967935,21162053,4631997,10970936,3476974,0,8384421,372385,1650051,878480,2270897,1304285,1277429,2011643,173669,936962,71421
Pir4_lineage,4542742,5701509,6953679,6345184,5241734,4684250,4265853,5553923,2970329,3679371,5189932,4720932,3672524,4646595,3403260,4220499,5911646,5530827,3473612,1876316,3852344,4805404,1304651,1222224,645448,193904,3843178,1850443,3595130,2019814,3642088,4940821,280994,179897,654330,2216474,658262,0,3351294,130113,378696,18433
UTCFX1,4571325,4806868,4667541,4682298,4420553,3511352,3952470,4350816,2457146,3372514,4240007,2857143,4845937,6643187,3538974,4081669,7703537,5509111,2777512,5598102,7778808,5612596,2429823,2087307,423736,170489,7223914,2344085,1728121,270011,835927,4254907,129257,612372,352148,637787,522540,831294,2653301,116435,133823,26020
Subgroup_10,3546718,3519541,7508318,5192458,4023770,5269289,4817970,4716392,9460606,3678897,4813280,4813185,3955219,7073994,2882310,3755552,6686917,6280424,3790127,1722405,3663866,3663704,490407,1265591,395155,88753,11552680,4535753,998946,1334314,881544,0,130949,0,84348,0,103183,339807,1454391,86413,73338,11828
Flavobacterium,202113,140482,147200,204907,182041,141651,221418,129239,245181,58135,689537,182941,1338120,2700084,284313,131631,8476952,252271,1823113,21436292,28693220,61745,5349029,543151,0,0,47873871,37318,55914,320521,348691,170138,27639,0,133166,0,0,321519,436430,108694,1646034,0
Pirellula,3680694,4365837,6057896,5328956,4241087,4572446,4610778,5559336,5719526,3437806,4182330,5205472,3746083,4402328,4443502,4875227,4247333,5430503,4729932,1655803,4619434,3012878,1996002,1679907,251766,164226,5386536,2838682,2382858,2732980,2034294,680551,186562,0,591430,493246,622816,368017,2366798,94980,346076,12603
Domibacillus,41722,92185,32213,33231,74062,22672,9885,58031,16752,34166,36773,16810,70051,0,30910,18543,57368,21451,204235,4293635,12030810,1076281,451090,512545,3220540,491834,39283097,21458081,1726764,12131652,1549488,10009089,75989,454683,169926,903024,113149,1612538,6702634,474184,870786,40437
Lysinibacillus,18673,126996,19773,3835,25935,26413,9574,29668,23294,23307,24019,22913,51388,133353,110702,0,0,20351,534361,18492848,8720497,601043,3635427,11818538,3755913,55939,16153820,13239499,18485315,16479824,2622536,1410615,95085,235123,302221,445402,67159,39366,141152,95827,156989,0
Solibacillus,13326,78712,14720,0,36252,0,87482,165773,135225,329619,135974,76406,134512,242155,73041,52019,107250,52703,72718,2597485,3092614,6142486,4504364,1032790,13045210,783114,43739161,3682915,10907813,5948288,0,11695817,0,295462,58932,140102,208130,18197,193778,5038,26170,0
Nocardioides,957382,1196405,1621222,1390393,883214,1988055,1110010,916365,2116508,1043782,1011183,1650697,1181899,1776279,1558770,984078,1456029,1699089,1963467,1429935,2829847,2460804,1018813,881516,969965,2429185,25427771,4830170,2226662,4717035,1737602,7086575,164175,367297,389814,3708468,204383,1255830,1170254,128310,262741,21042
Steroidobacter,3601352,3765407,5184611,5018378,3671105,3943340,3851261,3941544,3513110,2926046,3308220,4146474,3203779,4186848,2828418,2611706,5170502,3345066,2615674,1298552,2679815,3296532,442558,149668,0,166632,0,3446085,1148291,313506,1080941,3021737,0,0,234572,664752,106279,330613,785944,80609,242000,17150
bacteriap25_genus,2801683,2807394,3431707,3412503,3102842,2566357,3065541,3823973,2377365,2373992,3091148,2977754,3721053,3751547,1854270,2174180,4686067,2853891,1865043,1704719,3096046,2783951,702525,659165,352604,196032,3792313,1693490,2473712,1631177,801574,2586781,0,360671,211839,303540,387621,295974,1766043,89720,328314,20954
Blastococcus,1515352,1289142,2427264,2328701,1118796,1697811,1684901,1445205,3790999,1237084,1191603,1662677,1692050,2969240,1369275,1339748,1550468,1858111,2162232,814643,2962877,1970904,790890,943874,689500,1477705,10106334,2686708,5250682,3418631,2605788,6404953,175621,627163,346355,3720032,645057,753063,535289,258061,414758,28543
Microlunatus,1975409,2412787,3246941,3079694,1903989,2857142,2421636,2316229,4897457,2107092,2141162,2600692,2088584,3319904,2404306,1958275,2986605,3375349,3343950,1207105,2663574,1738541,1791087,1240797,0,648015,3763085,2071503,2592181,1738689,1760557,4405523,311903,0,307550,2042324,309981,457143,496386,87327,446232,28740
Siminovitchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639301,207342,0,0,0,4542455,363210,7245799,4006541,6108556,3449702,0,8515382,5654862,6569308,781117,1112186,8699238,793299,9004869,8288742,3480331,73142
Ensifer,559808,409092,479445,420390,536309,276917,332670,402661,182519,382865,288795,229476,609278,421650,507227,447590,981285,533924,1004008,3488881,5947485,428162,1894942,1390242,375378,831022,26273947,13201713,0,7986008,3346278,0,44514,0,1215726,1026722,0,434769,1353983,22170,152811,17604
Microvirga,1467429,1723697,2562148,2885906,1813881,2379895,2101173,1801673,3920917,1788182,1805880,2743652,1867645,2880447,2252461,1660931,2493175,3071843,1719535,1357340,2388136,1914357,679893,765584,293110,188122,5213324,1908224,583078,2614780,6804367,3897193,154145,169892,315740,1956070,332755,644803,491337,119965,455725,15815
Nitrospira,2375634,2561566,3451412,3007085,2976289,2642556,2531038,3128456,1795302,2069912,2692662,2353903,3429619,3733939,1620712,1880752,4242885,2442044,1644637,973914,2459397,2533679,1095969,601086,223019,120344,3235510,865023,1756544,1814947,0,2129336,0,0,295387,518788,464972,370409,1421200,80609,118902,12064
Chryseobacterium,6294,6782,19995,18364,22559,43625,489790,18079,148258,150005,333585,90296,2612084,1167840,514717,828576,33678278,407650,519523,928261,17205035,19308,41473,2244459,9220,0,9952149,0,0,0,0,0,0,0,0,0,0,0,6323,0,6396,0
MB-A2-108_genus,1492033,2108546,2549648,1971213,1568697,1840412,1304609,1939995,790802,1370718,1977374,1196877,1781769,2645107,1123273,1480879,2647864,1708301,822992,1110173,1919317,2116357,679544,270379,502093,829817,8962046,1717614,6023326,1377787,2544972,4130974,170343,342582,333302,2552439,590137,830224,986868,55689,536288,24411
Pseudochrobactrum,0,127526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216551,0,0,801448,575203,13500,0,0,301284,0,0,5796840,0,0,0,0,475305,0,8458257,40970683,9225851,0
Actinomarinales_genus,2628703,2962928,2593807,1725760,2041272,2096409,2181121,2564304,745872,1618350,2328976,860794,3042721,2756984,1462374,1545088,4468594,2879847,1084211,2686561,3262686,2635487,829580,791743,379883,112720,5379526,2091291,2541873,481169,0,1995860,0,0,59419,174038,181262,356879,884873,14792,106182,7967
Bryobacter,1864897,2189803,3361281,3100771,2788035,2779776,2959765,2714057,3993313,1996839,2403354,4616598,2757776,3686710,2287220,2536613,2782320,3167350,2764560,1154189,1523889,2940482,825592,888259,0,39321,0,1028536,0,1153334,713631,0,0,0,84348,326110,68789,185259,447504,21196,84881,26447
Brevundimonas,65958,302430,236411,173421,243830,179576,196476,68115,420744,137728,217748,270921,1558306,1352399,354477,225486,4547118,763130,133271,1987360,29859097,140743,101371,423707,558999,37367,837214,291843,914867,0,0,0,0,0,66065,6791688,708067,55804,111570,474068,10772930,10780
Rokubacteriales_genus,1817509,1774103,2946178,2637257,1728847,1409775,2024064,2575343,907165,2134135,1951148,1353148,1499284,2391778,1041605,1484948,3197815,1805045,692055,564760,1859855,1220264,704640,675702,535907,367758,8860648,2284373,2676178,1898912,1030595,1934283,96231,0,445102,236889,347793,540490,1482736,56745,101241,26949
Paenarthrobacter,69016,276880,249189,97771,267722,76976,1406585,79646,398265,329966,847738,1057062,1373056,2125852,537985,489127,6630891,579604,3377317,3604600,3307441,1223568,2140149,5315696,916374,215015,9801498,1542233,1426913,4621298,1311736,4667320,98253,374787,419130,224578,47874,64465,177181,91911,157606,31646
Pirellulaceae_genus,1703847,1976078,3029193,2606294,2273927,2106935,2043230,2538612,2923790,1497855,2307903,2286302,1647389,2043162,1823078,2111611,2357652,2671502,1828424,776477,1786122,1703060,421664,856861,238590,0,3984280,729854,2796212,598464,502491,1668990,170874,359796,234807,1243697,287243,250966,797229,19668,318836,17260
JG30-KF-CM45_genus,1044569,1332847,2073655,1968410,1120552,1786975,1280997,1577486,2449779,1278394,1505736,1761468,1200880,2026258,1676426,1503426,1399450,2007807,1349864,557009,1903982,1764370,933876,708404,447928,593628,6804087,1159318,3183445,1762093,1582023,1245408,370911,425998,415025,3059856,165971,943937,978934,151142,434317,22438
Arenimicrobium,1440404,532388,2525636,3333405,1324612,1756819,1848660,2440896,6305170,1742069,2064008,2615220,2263160,3080465,1126455,2168098,1614323,2989816,1906739,623706,1217534,2100012,1455474,1010131,0,0,1272516,1586153,0,1424803,3144173,1178974,0,0,138331,0,120382,104022,331326,0,0,14928
11_24_genus,1880982,1432908,2780217,2751916,1910180,1191501,2234330,3203446,2243456,2146163,2327749,1657631,2067547,2792835,1002617,1295099,4521254,2553384,1281583,1440517,3543353,1866525,843589,897633,138034,29210,2985210,1441649,1236264,881865,0,0,0,0,72539,0,85986,116137,501571,0,0,10334
Roseiflexaceae_genus,1782899,1963847,2313151,2761834,1917939,1888424,1702432,2619736,2175716,1877376,2092196,1655851,1734713,1953470,1869265,2159837,2854658,2488451,1244300,1427036,2026719,1441934,1115152,741839,250770,88242,1900861,1250528,664502,597376,588347,2070973,26945,273542,139639,753229,129412,121612,1136676,32207,94216,6265
Ardenticatenales_genus,1816030,2437517,2514103,1908210,1835645,1431796,1857015,2415173,908851,1557249,2115450,1319343,2754752,2254244,1339461,1765715,4611662,2454809,1025435,1432757,2597970,2162209,373480,596525,181195,88606,2106014,936516,1469409,605959,371843,1179537,0,0,44263,221931,215989,107254,1121080,0,31174,6554
Devosia,517647,430614,700605,574137,655150,397831,728948,585511,741204,388551,459967,593729,702906,1441526,547811,363966,1712919,924789,423187,788733,4731438,345556,213168,253470,716448,235483,1184980,483292,0,543977,2983396,1423323,48472,0,105123,26517094,79710,186224,85686,63815,217870,37966
Xanthobacteraceae_genus,1245917,1253671,2462713,2414975,1454497,1293490,1463583,1565760,1681327,1410126,1368677,1578271,1144626,1773886,1303183,1100059,1944372,1268030,1125758,864100,1437746,1062873,393690,272971,143508,264694,4818715,1112588,928045,1420489,3532891,3001155,296007,1049200,347274,1265590,274059,1180457,772630,111499,573515,22548
Streptomyces,588772,514923,479077,466152,412200,424353,304008,245284,161622,265307,278526,215324,996895,1191055,816192,372712,948818,601275,549870,1895853,1791938,1271139,568985,346361,588171,625608,12252113,3047726,817334,2308186,3869647,5376195,37450,0,296589,1686635,126624,1050855,2926082,608767,284623,54157
Lysobacter,1926213,1399949,2611093,2050363,1740264,1247454,1833931,1494659,3187028,1713710,1383918,1682609,1177970,2184862,1003537,1034155,2057475,1237373,1185155,508403,1424704,624608,377349,503491,687642,69981,3666323,4052451,370853,1809219,265602,2581991,128454,0,292905,509996,189784,351799,467823,73572,215822,16277
Microscillaceae_genus,2014546,1593717,2499170,2144585,2043242,2004421,2226797,2376027,2678360,1331816,1967689,2500583,1756827,2153417,1527305,1478524,2988654,2073651,1632337,1088222,1393851,1587285,838776,837658,245322,0,1669276,838758,636676,293171,626946,1064668,75868,0,131187,94086,225844,95408,483091,0,74488,6860
Mycoavidus,0,0,0,0,0,3307,0,0,0,3537,0,0,46496,0,85114,10796,14554,23236,4584556,5060388,744658,29017233,1425483,22876,135563,0,9124206,77291,0,0,0,0,0,0,0,0,0,47585,187891,13401,0,0
Lactobacillus,0,0,0,0,0,0,0,0,0,0,17053,0,0,0,0,0,0,0,0,0,6517730,0,42795970,31526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13781,0,645792,0
Ferruginibacter,1889762,1641273,1899098,1778089,1420300,2375190,2684832,1179813,4623168,1010802,1681361,4177600,1438176,1774417,3136860,2153234,1495836,2400303,2503730,392080,2870126,1272752,554046,1138416,51573,0,0,1044158,0,536977,0,284340,59182,113976,85962,0,70853,0,235949,0,0,0
Blastocatellaceae_genus,2009387,1170430,2000762,2361582,1673328,1372917,2432258,2357360,4201926,1869942,1607987,2283641,1405657,2304401,1145081,1407601,2818106,2248015,656104,0,1526142,1051748,690618,682014,0,69654,1028417,1479050,0,773278,881544,2242792,0,0,155200,290255,137579,0,206541,0,0,0
TK10_genus,1208642,1310142,2133645,2247144,1381492,1516175,1198114,1606829,1910462,1522194,1748620,1720643,1479301,1766731,1281512,1495598,1975260,1929095,1378151,734918,1112418,1018799,293072,479493,126021,103564,2595332,766788,1826105,711125,750242,1607658,78909,121575,165821,932300,129411,317770,704263,49078,279767,13393
Escherichia-Shigella,246059,7243,114231,1694723,11974392,333288,4910,198710,69988,159998,527346,41474,49199,781876,370064,9049,94061,28246,102811,2050149,1221319,37610,4600405,0,416371,39618,13747841,3463899,301665,1034908,0,329540,0,176613,0,270940,16251,33043,0,42403,22749,5264
Rubrobacter,919414,719749,1080294,1542661,972699,1439539,978724,826329,2036433,1041583,1031764,1568111,1262734,2076851,1362316,1143561,1331185,1511578,1001460,900756,1078741,1778087,457782,353945,122660,132012,1997151,1220469,1925845,1056544,1422518,5080457,30575,0,322072,1647346,99029,339913,398775,0,231222,22421
MND1,1122309,1045824,1966936,1378619,1185402,1023265,1186970,1595777,1068651,1154989,1437418,1042208,1048552,1799683,798946,1053411,1875716,880361,1021191,692561,1084919,1040735,339217,320580,396230,171570,6198992,2270773,1599270,877592,1335178,1135646,40463,0,363267,315611,400320,402721,857249,22508,39727,8989
Chryseolinea,1695759,1662508,2757704,1956318,1523017,1424352,2441302,1741043,2303133,1386020,1505583,2380611,1414566,1730506,1296063,1119590,2376896,1166464,1247695,353215,1064966,906336,568838,743512,217444,0,1296266,583102,264334,645654,0,1245408,56901,0,158987,131016,0,143878,327231,33587,43014,8575
Paenibacillus,102690,167712,95273,55535,102124,106554,73528,86900,23877,38936,68028,52495,150512,169559,155670,103851,113438,86740,471085,4242671,3574142,82545,2843101,678912,531134,16910,6212653,1234234,103002,1310883,2540711,7485598,707853,1540294,544903,1163698,758670,711197,635190,0,83506,317230
Ignatzschineria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68585,18948,0,0,0,0,0,0,89304,0,0,0,0,0,0,0,0,103327,22109,0,37446835,66911,0
Oceanobacillus,0,0,0,0,0,1929,0,0,0,2200,0,2902,10559,0,2488,0,0,0,0,162494,66957,0,0,19412,1092315,246292,5110657,1024971,15802901,453879,0,4996854,645510,2504786,186828,754078,3128073,0,629377,138550,331171,118841
Sphingomonas,1379448,851855,1810224,1657778,1598409,1110670,1517367,1175316,3116955,1267756,1223961,1785153,1404449,2542952,1074562,863776,2776274,2566863,457195,1022058,607868,229400,149928,484985,55502,41889,1501877,769356,239216,365764,0,963500,17165,32951,61159,220422,32060,79878,125674,0,0,12256
S085_genus,1208013,1397932,1645400,1378781,1238420,1110314,1357236,1477627,446078,1151963,1449933,953682,1515672,1490860,830888,1136928,2473165,1433826,476349,506300,1840786,1117620,414743,451936,215127,61821,3312393,1028246,0,567971,188902,1103831,51964,0,49191,776515,24265,48924,463440,9973,117530,0
Bradyrhizobium,1034379,914813,1884642,1525922,1172233,854842,1195731,1152113,1872756,1039968,982206,1046997,1255151,1225562,1063015,931938,1842952,858617,957261,372213,1312373,1025729,302558,546641,253431,217940,0,865399,1451689,1630205,750405,1759782,257771,165030,275713,911276,285461,284197,562854,0,376879,0
Subgroup_17_genus,1224120,1416402,1793929,1355516,1024141,1451336,1107526,1733354,836738,1182363,1616203,1016841,1260334,1951644,666657,802528,2311143,724837,715558,437260,667899,1094700,283447,255462,113675,158408,2416980,839828,1937182,514970,369409,1359932,0,0,136644,218545,184871,0,750144,40761,126304,5167
Subgroup_5_genus,1298609,1238115,2525271,2180310,1550601,1031153,2076611,2706540,1012294,1365325,2047574,1384130,1828885,1392156,888222,1026374,2580529,1509609,530829,825689,958484,1290889,0,625765,83903,0,0,564420,0,546231,0,0,0,129247,32052,0,0,117892,294033,0,42781,10220
AKAU4049_genus,1177202,1372696,1274869,1201165,853478,681491,885740,1120498,352788,1104775,1026392,437454,868554,1116601,580513,629382,1594700,1245555,335542,966669,1306826,776928,394641,291003,190941,161158,5249012,767588,654119,557911,1893373,1379789,26945,151968,90448,322812,121324,200820,597681,16103,24911,7021
Paracoccus,85680,93954,79841,98962,59953,118375,217874,63706,243703,94095,172236,105113,518299,728225,207955,69345,438519,242160,40122,1178339,1521181,53397,356761,291430,689915,400014,8472517,662931,280141,2423685,3088846,4288904,0,0,814891,1820063,44602,3346429,30291,119609,81264,249224
Pedomicrobium,1032523,983308,2101251,1500325,990177,862929,949478,1305242,792799,811552,1159610,824040,906337,1157785,600623,741427,2094616,1025417,726091,594408,825986,688960,271096,427761,82517,196950,5258426,934015,0,0,0,1482063,0,0,130318,917287,359578,134694,352198,0,0,0
Entotheonellaceae_genus,1091517,1241870,1432764,1456932,1197816,882415,1317381,1758931,906094,1172319,1200289,1097634,956488,1462692,637689,825686,2025284,1229597,486337,444710,945555,1019346,212662,154320,78922,32760,1957322,593281,1160283,267736,827240,1335944,0,0,98382,492248,64705,224583,813549,21471,49503,4753
Gemmataceae_genus,783398,1190096,1221455,1198906,1021708,1219011,838440,1164570,1197303,907167,973279,990839,680031,894430,933718,1024736,878067,1100512,1111204,369140,762628,822893,451278,581636,193431,88245,3136057,1059421,624411,732248,1228953,903208,111655,272282,220087,447593,337572,123810,890061,80027,143054,4226
