"","ID","QMP_rd","QMP_pd","RMP_rd","RMP_pd"
"88","S085_genus","Decreased","< 0.05","Decreased","< 0.05"
"89","11_24_genus","Decreased","< 0.05","Decreased","< 0.05"
"90","Croceibacterium","Decreased","< 0.05","Decreased","< 0.05"
"91","Lactobacillus","Increased","ns","Increased","ns"
"92","Ensifer","Increased","ns","Decreased","< 0.05"
"93","Dongia","Decreased","< 0.05","Decreased","< 0.05"
"94","AKAU4049_genus","Decreased","< 0.05","Decreased","< 0.05"
"95","AKIW781_genus","Decreased","< 0.05","Decreased","< 0.05"
"96","Haliangiaceae_genus","Decreased","< 0.05","Decreased","< 0.05"
"97","Saprospiraceae_genus","Decreased","< 0.05","Decreased","< 0.05"
"98","Ohtaekwangia","Decreased","< 0.05","Decreased","< 0.05"
"99","Blastocatellaceae_genus","Decreased","< 0.05","Decreased","< 0.05"
"100","Chitinophagaceae_genus","Decreased","< 0.05","Decreased","< 0.05"
