,MS01.1.R2,MS01.2.R2,MS01.3.R2,MS01.4.R2,MS01.5.R2,MS01.6.R2,MS03.1.R2,MS03.2.R2,MS03.3.R2,MS03.4.R2,MS03.5.R2,MS03.6.R2,MS07.1.R2,MS07.2.R2,MS07.3.R2,MS07.4.R2,MS07.5.R2,MS07.6.R2,MS14.1.R2,MS14.2.R2,MS14.3.R2,MS14.4.R2,MS14.5.R2,MS14.6.R2,MS21.1.R2,MS21.2.R2,MS21.3.R2,MS21.4.R2,MS21.5.R2,MS21.6.R2,MS28.1.R2,MS28.2.R2,MS28.3.R2,MS28.4.R2,MS28.5.R2,MS28.6.R2,MS35.1.R2,MS35.2.R2,MS35.3.R2,MS35.4.R2,MS35.5.R2,MS35.6.R2
Com_4224_pos,-0.228209987,-0.237572769,-0.22719798,-0.230079072,-0.232985734,-0.236555115,-0.241100029,-0.23166362,-0.240937142,-0.240485532,-0.240649974,-0.213013199,-0.232886412,-0.237770107,-0.232162144,-0.239001534,-0.251444291,-0.227008204,-0.214900476,-0.188531543,-0.205997135,-0.126557974,-0.193153797,-0.214631027,0.311454594,-0.099597247,0.226563264,0.204338741,0.056920196,0.100736354,0.090130716,0.245882889,0.074821615,0.410687697,0.185479843,0.180747653,0.424419684,0.943630456,0.45810993,0.355971234,0.816084116,0.378113064
Com_14570_neg,-0.04834407,-0.053525781,-0.050764669,-0.0443811,-0.048384281,-0.055326984,-0.058155298,-0.043081667,-0.054089507,-0.045185339,-0.024996753,-0.051519674,-0.055578254,-0.051274679,-0.056165811,-0.052219935,-0.053192757,-0.042500897,-0.03702884,-0.045564771,-0.017298207,-0.045449938,-0.023407932,-0.028525481,0.022472643,-0.044606797,-0.043475146,0.085129638,0.029845999,0.008012267,0.027980336,0.016302208,0.071837749,0.040429992,0.106478786,0.064781971,0.065784652,0.058046908,0.24007181,0.043375365,0.015551308,0.277942935
Com_226_pos,-0.430072672,-0.430062439,-0.430363809,-0.43001171,-0.429357249,-0.430097482,-0.430574022,-0.430088601,-0.429874555,-0.430508598,-0.430472072,-0.429627496,-0.430292602,-0.429514335,-0.430419416,-0.430116311,-0.430056258,-0.430134694,-0.428625488,-0.428319706,-0.416066443,-0.430171113,-0.428432326,-0.343887759,0.178487259,-0.43055329,-0.353453082,-0.043556763,-0.224150894,-0.031221072,0.334866316,-0.00157658,0.886271144,0.255486176,0.041701334,-0.106089467,-0.014219607,-0.251873206,7.219999138,2.72923664,0.347647324,-0.319854212
Com_10494_pos,-0.177373149,-0.176434486,-0.189969407,-0.197093629,-0.195923862,-0.180745518,-0.136558833,-0.180953316,-0.182022605,-0.183028317,-0.156378342,-0.159288108,-0.025782355,-0.102122263,-0.084064688,-0.164866039,-0.174290304,-0.179039338,-0.060993473,-0.102350082,-0.055736959,0.033803849,-0.078785927,0.079718805,0.170962794,-0.144224019,0.070551498,0.14800102,0.291912623,0.240757872,0.118893022,0.255519608,0.180033441,0.043457948,0.054523404,0.119520146,0.463992331,0.315178836,0.287361241,0.03656657,0.031648309,0.345621702
Com_205_neg,-0.536930079,-0.536702673,-0.535757113,-0.535239929,-0.534608945,-0.536497827,-0.508060685,-0.532213366,-0.533262068,-0.515802616,-0.536434897,-0.530823677,-0.519580159,-0.514859796,-0.528526104,-0.519105969,-0.530069068,-0.527118165,-0.485185016,-0.496727345,-0.454584306,-0.489666039,-0.402294187,-0.228207824,2.768980055,-0.480259569,-0.470904339,2.555017004,2.846665228,0.670055384,-0.263616397,-0.439373747,1.079163681,1.404027364,0.66569322,0.135096254,0.042264684,-0.135770322,0.147342241,2.041692573,-0.330468665,-0.167346795
Com_1156_neg,-0.073798816,-0.075118159,-0.074046004,-0.07045371,-0.074776998,-0.07753408,-0.080048685,-0.069093372,-0.075585,-0.070634073,-0.06966007,-0.075162585,-0.075005579,-0.073338748,-0.078052847,-0.075554648,-0.074680779,-0.072879865,-0.071271754,-0.074157349,-0.056323208,-0.069284743,-0.051593545,-0.052055346,-0.04284252,-0.062813646,-0.060508704,-0.042026371,1.65872715,0.658347404,-0.032108502,-0.048251794,-0.033798309,-0.02950237,-0.039506544,-0.036392438,-0.039792645,-0.01671515,-0.044213911,-0.041642967,-0.002026253,-0.034822468
Com_29628_pos,-0.054396828,-0.055004552,-0.056758498,-0.056545463,-0.057933974,-0.053374625,-0.045813194,-0.055146643,-0.051836626,-0.056037279,-0.052304265,-0.056706754,-0.052431901,-0.050241877,-0.050269421,-0.050719446,-0.057414792,-0.056584518,-0.053652256,-0.051538978,-0.042636898,-0.053749255,-0.048792441,-0.050634921,-0.015661308,-0.046231827,0.016213274,-0.034061514,-0.017030222,-0.003250117,0.174464842,-0.005631987,0.082689965,0.120919038,0.003926556,0.038011826,0.119761683,0.171630083,0.279143422,0.043424782,0.126474397,0.215732514
Com_2076_pos,-0.210813393,-0.215257807,-0.209688252,-0.213421573,-0.215314016,-0.215662782,-0.210153944,-0.212971168,-0.215541778,-0.216004169,-0.217963388,-0.212724261,-0.208879579,-0.204871154,-0.193349269,-0.213050996,-0.21222176,-0.208413231,-0.193713131,-0.214114466,-0.191912014,-0.202387687,-0.206533148,-0.179830218,-0.159413729,0.692555764,0.151723628,-0.180302074,0.71812093,1.595088157,0.168078091,0.014471025,-0.065808994,0.239662957,-0.170574356,0.010577166,-0.01584186,0.00448182,0.876474017,-0.15161832,-0.082489295,1.349608255
Com_9179_pos,-0.103445667,-0.102422721,-0.10482264,-0.104665748,-0.10168986,-0.104006931,-0.105724117,-0.103856048,-0.103348883,-0.103629767,-0.10258797,-0.102819522,-0.104548611,-0.103745821,-0.104519609,-0.103699826,-0.103453353,-0.10268203,-0.092826453,-0.104532537,-0.090227594,-0.09464682,-0.10334106,-0.083060211,-0.005215363,-0.099921624,-0.051833084,-0.048687961,0.05746407,-0.064979455,0.107622379,-0.071088393,0.071570991,0.106499352,-0.020868014,0.105511167,0.407950051,0.186904882,0.696024256,0.452127756,0.217757096,0.387465689
Com_254_neg,-0.521182301,-0.492283346,-0.504602846,-0.505050891,-0.507998613,-0.553489534,-0.557035516,-0.510789962,-0.536924334,-0.49491488,-0.456102417,-0.493939908,-0.481589993,-0.515211664,-0.529009569,-0.526471782,-0.541425259,-0.506047611,-0.488513061,-0.511013112,-0.471689643,-0.552368171,-0.37890734,-0.472917102,0.735194048,-0.542464187,-0.520627581,1.939340297,0.406905159,-0.04912622,-0.20018121,0.700252546,0.516486829,0.0056559,0.139428689,0.599830022,2.220430971,1.176103479,2.522356194,0.834783259,-0.286812205,1.911922868
Com_1_neg,-6.234249301,-6.636254631,-6.490770965,-5.556349725,-6.465394445,-6.920874365,-7.455099436,-5.659462372,-6.643812595,-5.973135375,-6.232269297,-6.887228652,-6.652512309,-6.38386074,-7.130225227,-6.352478113,-6.537004729,-6.141442223,-6.437284184,-6.427982499,-3.121285788,-5.425399951,-2.412693849,-2.381097991,6.148375172,-3.72777425,-3.887917328,7.863168209,8.748495314,8.070155107,9.030539153,5.3213558,15.42303441,6.628186492,4.225592461,13.68109288,15.82422711,8.264984043,10.85343475,12.04557106,3.895956377,14.149692
Com_112_pos,-0.847327054,-0.851860027,-0.846619264,-0.843567119,-0.847353975,-0.848140129,-0.819906364,-0.780009195,-0.818443066,-0.848820062,-0.853387086,-0.804917385,-0.816562905,-0.84323972,-0.844532397,-0.801484061,-0.782258244,-0.779665133,-0.710170409,-0.534636694,-0.001631687,-0.556939643,-0.73864589,-0.659896183,-0.0858492,-0.691402815,0.059661296,0.021458777,-0.173369695,2.861042716,0.86644682,7.848004341,0.184372477,0.177450879,0.620804871,-0.065690394,0.235748853,-0.089616343,-0.112193375,3.985659704,2.066509154,0.370975625
Com_6057_pos,-0.212776096,-0.213664705,-0.21059775,-0.21493925,-0.199452932,-0.203781858,-0.178562525,-0.19767448,-0.175064655,-0.207508019,-0.192986128,-0.173972527,-0.173216192,-0.150984891,-0.11796844,-0.140855733,-0.159590681,-0.157084218,-0.109998706,-0.10506462,-0.033639645,-0.069788163,-0.166397169,-0.184747721,-0.088694007,0.011603371,0.648677246,-0.018773231,0.020084386,0.089588916,0.21102164,0.005109341,0.550585581,0.078546784,0.238293656,0.075784562,0.528170123,0.650315093,0.032435059,-0.050043416,0.567753617,0.399858383
Com_1166_pos,-0.384208312,-0.378584198,-0.379242121,-0.384379407,-0.382296347,-0.382825985,-0.338896722,-0.379563251,-0.378766645,-0.364686526,-0.383696495,-0.379869156,-0.376350486,-0.288337826,-0.37744961,-0.364446093,-0.381520272,-0.374717002,-0.369821954,-0.37628876,-0.29848458,-0.372650623,-0.351574278,0.145529386,1.265462772,-0.378515345,-0.337465639,0.952831373,0.295248711,0.19391291,0.008318971,0.244367156,0.402727027,0.484724111,0.608942699,0.138744551,0.201459905,-0.177491194,0.748868446,2.452697849,0.135783463,1.062509495
Com_16_neg,-2.43095302,-2.476081544,-2.367925214,-2.375873222,-2.402902314,-2.428991469,-2.427607681,-2.203076957,-2.354548185,-2.321149028,-2.457517633,-2.48444447,-2.424226717,-2.359921978,-2.43659812,-2.324338844,-2.331255514,-2.355179469,-2.310323648,-2.384601504,-1.737882798,-1.810743253,-1.306215971,-0.746525416,0.855920694,-0.909802422,-1.386250439,2.938850099,7.098469432,4.772166556,1.658565696,1.042857629,4.335731314,1.632029633,-0.407431307,7.647576982,5.863405678,2.723216895,6.284579449,4.406272873,-0.916291026,5.619016231
Com_26865_pos,-0.038715122,-0.040522247,-0.040327447,-0.039798422,-0.04095988,-0.041461755,-0.041998738,-0.041011258,-0.041275462,-0.039322758,-0.03812581,-0.038688774,-0.040280155,-0.04009346,-0.040691618,-0.038371148,-0.039669895,-0.040531284,-0.041044254,-0.03837088,-0.034535192,-0.035735683,-0.026152485,-0.028033729,-0.022746793,-0.02195297,-0.029909569,-0.01817005,-0.002287661,0.192822549,0.178306181,0.083316509,0.003028297,-0.025982906,-0.023474666,0.00138927,0.166714752,0.005576723,0.005539438,-0.026051407,0.458687391,0.000912366
Com_26572_neg,-0.033401005,-0.034405375,-0.030737209,-0.030127585,-0.030908832,-0.039831119,-0.046027645,-0.026654661,-0.037404684,-0.03414396,-0.0241267,-0.032487369,-0.027169401,-0.031673277,-0.040317346,-0.035501562,-0.023538969,-0.02627539,-0.034197153,-0.027279102,-0.026065921,-0.041460734,-0.025944213,0.007840908,0.028020187,0.16116676,-0.007116413,0.02829678,0.023316524,0.01169654,0.01862179,0.031885519,0.027632632,0.012858519,0.017563871,0.036457801,0.030795215,0.027303688,0.027350346,0.164464053,0.039446797,0.052077692
Com_234_neg,-0.703189891,-0.719594042,-0.674518386,-0.642781106,-0.683477689,-0.716669427,-0.704209767,-0.63971238,-0.703543171,-0.676926429,-0.697099984,-0.702002993,-0.684199136,-0.685951172,-0.696593994,-0.685629003,-0.680314312,-0.673944062,-0.663741006,-0.681742552,-0.413641594,-0.426999661,-0.370046514,-0.108773359,0.200503885,-0.028851966,-0.557446172,0.204943723,1.132122797,0.80203868,1.703819654,0.558442989,1.946837551,0.943225058,0.425815961,2.887821635,2.387031624,0.846606491,1.551266225,0.07192073,-0.220258935,0.179461701
Com_32_neg,-2.445862589,-1.978759352,-2.049016947,-2.244707633,-2.317506111,-2.544190915,-2.640230023,-1.636256571,-2.287125859,-1.810342111,-1.335860401,-2.156467398,-1.538492588,-1.790084196,-2.492075667,-1.812153182,-2.00165993,-1.364552425,-1.618414638,0.053846828,-0.467045411,-1.912966642,0.689343542,3.242196757,1.017807308,-2.289158343,-1.956641407,2.782665466,4.204388745,1.077260674,2.243620287,3.857090764,4.045182094,2.222289627,1.202495434,4.559991889,4.799480731,3.968218944,2.056549728,1.360760029,1.024246351,0.282135143
Com_7430_neg,-0.057124096,-0.059410145,-0.059183946,-0.057691838,-0.059019252,-0.061471182,-0.061731799,-0.05951944,-0.061339527,-0.059373625,-0.055919634,-0.057514403,-0.059500682,-0.060656275,-0.060542095,-0.059251722,-0.059681987,-0.058171347,-0.060018635,-0.059073247,-0.057135768,-0.055103443,-0.046472227,-0.049854683,-0.028122203,-0.043715586,-0.051454858,0.007866031,0.202438974,0.005753901,0.024027543,-0.030168991,0.513037799,0.135453177,-0.039759044,0.361654903,0.108862862,0.061705365,-0.014257631,0.099659543,-0.034199088,0.115978301
Com_573_pos,-0.715543677,-0.718559106,-0.719091033,-0.722281351,-0.71814907,-0.720186422,-0.651044477,-0.711975707,-0.704971877,-0.678442605,-0.698178393,-0.690073007,-0.397450322,-0.630917611,-0.55953364,-0.714540878,-0.66894523,-0.698517205,-0.616024159,-0.668356508,-0.538903533,-0.595839908,-0.492913048,0.046956641,0.635116922,-0.003021154,-0.273816667,-0.317526747,0.846787778,0.48417945,0.102487414,-0.033610014,0.393776114,1.531576555,-0.410608691,0.751951598,1.012634316,2.515441406,1.10481879,1.265053576,4.294195948,1.084045533
Com_853_pos,-0.560585161,-0.563478193,-0.562895706,-0.563068829,-0.562199947,-0.564407586,-0.554711656,-0.562886923,-0.555126701,-0.562431708,-0.538500254,-0.560588452,-0.53382787,-0.504087548,-0.477908136,-0.535991591,-0.561378992,-0.520371214,-0.445940522,-0.41127618,-0.42527379,-0.299109843,-0.464150803,0.382323932,1.213730841,-0.11997502,0.617199044,1.918569375,0.051632253,0.600201512,0.777218477,2.475231902,0.039821045,0.941704289,1.831571643,0.060248204,0.947919371,-0.055368592,0.464083753,-0.231410444,0.035917768,-0.06042175
Com_336_neg,-0.5232957,-0.537683745,-0.498788659,-0.548079431,-0.531150023,-0.551258697,-0.581100198,-0.490697969,-0.537931793,-0.546631933,-0.521200151,-0.550226114,-0.561974896,-0.524163203,-0.571685753,-0.549789202,-0.50801571,-0.515564025,-0.517749936,-0.490519441,-0.360550078,-0.370969175,-0.297622906,-0.281336264,0.280005237,-0.299312902,-0.245893567,1.900288594,1.213682935,0.295070864,0.415932712,0.332979972,0.860990297,0.364854728,0.450320045,1.474358726,1.669948476,0.690742054,0.782701567,1.058247103,-0.116652114,0.839720277
Com_10687_pos,-0.058101467,-0.059239507,-0.061580729,-0.060543997,-0.059814486,-0.061928928,-0.06325655,-0.060574356,-0.060575696,-0.062189011,-0.055523851,-0.057535273,-0.062004748,-0.061928577,-0.061226439,-0.060743356,-0.059173127,-0.05835599,-0.060583567,-0.062047042,-0.059532539,-0.061405803,-0.059717359,-0.058592743,-0.03052628,-0.064096959,-0.061962845,-0.046899394,-0.05440047,-0.044209071,0.005355738,0.05869712,0.078329415,0.004252925,-0.011487597,0.090867157,0.758152149,0.343144939,0.201256839,0.053627341,0.058120926,0.10795321
Com_7952_pos,-0.091561735,-0.086382516,-0.093243588,-0.087881792,-0.085948173,-0.090216773,-0.09314943,-0.088211975,-0.085364104,-0.091629114,-0.090258205,-0.092076913,-0.090342638,-0.085733865,-0.091154572,-0.085182536,-0.094102777,-0.085649586,-0.087092608,-0.079424312,-0.085655637,-0.089279766,-0.06718912,-0.038508501,0.022378272,-0.041986135,-0.056311228,0.055616871,0.77791473,0.185842966,-0.001810984,0.002385843,0.012087742,-0.022310866,-0.024572489,0.656608677,0.355964694,-0.020606568,0.002744622,0.021426086,-0.049883844,0.179751847
Com_115_pos,-1.331247552,-1.363140754,-1.331030315,-1.33123113,-1.405502189,-1.381443838,-0.021595864,-1.215986344,-1.315662438,-1.107865943,-1.315165966,-1.373134057,-0.954340536,-1.202387668,-1.240626708,-1.201904202,-1.270994567,-1.326262705,-1.190344623,-1.33291495,-0.812786929,-0.474943349,-0.992352017,-0.189430975,1.907306517,9.358844684,-0.084349577,2.427849067,3.591796185,0.704922006,0.028830833,0.86706695,-0.031380503,0.430183327,0.462193591,3.704796308,1.65667094,0.10994036,-0.010558313,0.395249232,-0.717790546,1.880724558
Com_111_pos,-0.840714029,-0.847148523,-0.840485445,-0.836133642,-0.839689127,-0.84422842,-0.815665268,-0.771470087,-0.821757716,-0.844286029,-0.856718168,-0.795108562,-0.81369046,-0.846566031,-0.847859315,-0.796594332,-0.785555879,-0.782961549,-0.713434145,-0.537817887,-0.004562242,-0.560131324,-0.741923016,-0.663136278,-0.088819357,-0.682799665,0.056759563,0.01853908,-0.176381007,2.859458298,0.863924468,7.848764978,0.181529388,0.174604536,0.618167009,-0.068651071,0.232929923,-0.092588271,-0.11517592,3.984604123,2.064551116,0.368220284
Com_3655_pos,-0.223095182,-0.217531533,-0.219911849,-0.222462274,-0.223795549,-0.217150165,-0.220053864,-0.200956102,-0.184971847,-0.195604939,-0.212077652,-0.166628795,-0.201807351,-0.203889513,-0.182945806,-0.200121914,-0.197763563,-0.192903554,-0.176415213,-0.074910979,-0.024082796,-0.192994207,-0.19294732,-0.04591209,0.309467065,-0.093499396,0.03429145,0.408248218,0.062150044,0.171322022,0.063524147,0.235317394,-0.004010002,0.111723145,0.310551877,0.062824032,-0.032477566,0.102364764,0.507444891,0.220881487,0.497169673,1.423640813
Com_3206_pos,-0.278850657,-0.276690819,-0.278424432,-0.275443177,-0.276391308,-0.281880432,-0.277457716,-0.273516801,-0.278192329,-0.276691291,-0.275879815,-0.273270093,-0.280655058,-0.275724147,-0.270672492,-0.271326446,-0.27108226,-0.279851705,-0.226466019,-0.258029226,-0.249966324,-0.202279224,0.135256856,-0.246735948,7.48E-05,-0.159837992,0.097925448,-0.103146802,-0.074308572,-0.157815292,0.387240703,0.321266743,0.26769975,0.573931021,0.181094281,0.688751177,0.626035203,0.763030725,1.162140598,0.596978062,0.401398534,0.447762467
Com_1875_neg,-0.17152609,-0.196391153,-0.174842434,-0.190799123,-0.179793737,-0.195586161,-0.20114847,-0.17384197,-0.182009303,-0.188926322,-0.182086528,-0.167127733,-0.165971181,-0.159537413,-0.161697077,-0.136507847,-0.12613694,-0.118439861,-0.063214757,-0.152378253,-0.132745046,-0.120436,-0.155023589,-0.126719731,-0.13794452,0.149666083,0.051686177,-0.117649712,-0.073687071,-0.070546103,0.134356138,0.021233036,0.140624238,-0.063163034,-0.053366299,0.051813916,0.509758677,0.736108286,0.662512751,0.134873723,0.719630961,1.026979472
Com_4666_pos,-0.099168577,-0.097687289,-0.096618814,-0.09813298,-0.098963801,-0.09624851,-0.091180481,-0.098973696,-0.095981566,-0.098683996,-0.097016342,-0.102803125,-0.097092933,-0.089755772,-0.086898302,-0.095915624,-0.111517964,-0.097085417,-0.087839995,-0.065042154,-0.081881563,-0.070491347,-0.089900354,-0.06804061,-0.068072139,-0.081819671,-0.033326804,-0.093442069,-0.063204051,-0.04419882,0.145763285,0.008815026,0.060633878,0.006349125,-0.042461271,-0.033740296,0.358779756,0.324200076,1.324291493,0.14785951,0.079726758,0.216767423
Com_437_pos,-0.890627062,-0.901354069,-0.83418803,-0.908524398,-0.901171827,-0.892610582,-0.918653046,-0.835763843,-0.901663353,-0.868228743,-0.906945118,-0.850559191,-0.738107634,-0.870908196,-0.901565653,-0.700824713,-0.532641638,-0.833547227,-0.689835268,0.306183272,-0.690100164,-0.751472256,1.689006079,-0.674423328,-0.14757842,-0.83529124,-0.640665502,0.0151231,-0.472636878,1.676001603,3.003095122,0.458800586,3.410146157,0.564458287,2.777899854,0.472235172,2.673546487,2.432266204,0.979481186,-0.249690957,0.110434233,-0.229099007
Com_1393_pos,-0.352160695,-0.351920844,-0.352251744,-0.351815848,-0.352063961,-0.352415223,-0.352563363,-0.352030029,-0.352353553,-0.352804575,-0.352512447,-0.352233565,-0.352490425,-0.35284102,-0.352554051,-0.352367502,-0.352297122,-0.352224016,-0.352491753,-0.353007608,-0.35271706,-0.35290316,-0.349417442,-0.33139712,-0.129905428,-0.350304308,-0.338119184,-0.226808087,-0.295922823,-0.18964,-0.041304274,0.615541924,1.664642913,0.639199611,-0.025698007,0.510879127,1.937052894,1.170408247,0.911344477,0.808078032,1.560604821,0.21378419
Com_4786_pos,-0.120472582,-0.12092274,-0.117523461,-0.119125479,-0.120163211,-0.121445033,-0.122037156,-0.12121087,-0.122371582,-0.121387715,-0.121482578,-0.119925103,-0.120579052,-0.120889696,-0.116690227,-0.12111099,-0.12156193,-0.120749046,-0.109854455,-0.123427627,-0.107472194,-0.115947216,-0.113348795,-0.108536798,-0.105717919,0.440492223,0.096124251,-0.116996743,0.438038476,0.984031008,0.099732566,0.007343155,-0.048192133,0.128004989,-0.109416737,-0.079826484,-0.070465233,-0.019642828,0.449273743,0.014569215,-0.062906922,0.80379091
Com_23823_neg,-0.037062941,-0.038295358,-0.039194676,-0.035177959,-0.037274238,-0.040568456,-0.042992084,-0.034272237,-0.039693228,-0.033016795,-0.035021854,-0.039683166,-0.039483546,-0.038357889,-0.000405975,-0.038518333,-0.039583913,-0.037278158,-0.035140411,-0.036806629,-0.023727515,-0.035163377,-0.019592055,-0.019852862,0.00046892,0.04813492,-0.028653495,0.00273413,0.161275579,0.04691885,0.006543436,-0.006922252,0.070405886,0.185780872,0.003209368,0.013316058,0.010698545,0.092989999,-0.003626412,0.073257184,0.140445834,-0.000813764
